provider,stream,currency pair,time,bid price,bid volume,ask price,ask volume,guid,tier,status,quote type
LP-4,OCX1,USDCHF,02.01.2019 00:00:00.457,0.993900000000000005684341886080801486968994140625,1000000,0,0,G-3c369d9b-168a65ae1c9-LP-4Z-7bd52,1,Active,MQ
LP-4,OCX1,USDCHF,02.01.2019 00:00:00.457,0.993900000000000005684341886080801486968994140625,1000000,0.9942299999999999471356204594485461711883544921875,1000000,G-3c369d9b-168a65ae1c9-LP-4Z-7bd53,1,Active,MQ
LP-4,OCX1,USDCHF,02.01.2019 00:00:00.461,0.99390999999999996017407966064638458192348480224609375,1000000,0.9942299999999999471356204594485461711883544921875,1000000,G-3c369d9b-168a65ae1cd-LP-4Z-7bd54,1,Active,MQ
LP-4,OCX1,USDCHF,02.01.2019 00:00:00.475,0.99390999999999996017407966064638458192348480224609375,1000000,0.9940700000000000091660012913052923977375030517578125,1000000,G-3c369d9b-168a65ae1db-LP-4Z-7bd55,1,Active,MQ
LP-4,OCX1,USDCHF,02.01.2019 00:00:00.479,0.99397000000000002017941369558684527873992919921875,1000000,0.9940700000000000091660012913052923977375030517578125,1000000,G-3c369d9b-168a65ae1df-LP-4Z-7bd56,1,Active,MQ
LP-4,OCX1,USDCHF,02.01.2019 00:00:00.501,0.99397000000000002017941369558684527873992919921875,1000000,0.99406000000000005467626351673970930278301239013671875,1000000,G-3c369d9b-168a65ae1f5-LP-4Z-7bd57,1,Active,MQ
LP-4,OCX1,USDCHF,02.01.2019 00:00:00.508,0.9939299999999999801758576722932048141956329345703125,1000000,0.99406000000000005467626351673970930278301239013671875,1000000,G-3c369d9b-168a65ae1fc-LP-4Z-7bd58,1,Active,MQ
LP-4,OCX1,USDCHF,02.01.2019 00:00:00.517,0.9939299999999999801758576722932048141956329345703125,1000000,0.9940700000000000091660012913052923977375030517578125,1000000,G-3c369d9b-168a65ae205-LP-4Z-7bd59,1,Active,MQ
LP-4,OCX1,USDCHF,02.01.2019 00:00:00.525,0.99397000000000002017941369558684527873992919921875,1000000,0.9940700000000000091660012913052923977375030517578125,1000000,G-3c369d9b-168a65ae20d-LP-4Z-7bd5a,1,Active,MQ
LP-4,OCX1,USDCHF,02.01.2019 00:00:00.564,0.99397000000000002017941369558684527873992919921875,1000000,0.99407999999999996365573906587087549269199371337890625,1000000,G-3c369d9b-168a65ae234-LP-4Z-7bd5b,1,Active,MQ
