provider,stream,currency pair,time,bid price,bid volume,ask price,ask volume,guid,tier,status,quote type
LP-5,STRM-5,USDSEK,02.01.2019 00:00:00.321,9.04308999999999940655470709316432476043701171875,1000000,9.044779999999999375859260908327996730804443359375,1000000,G-3c369d65-168a65ae141-LP-5Z-5f230,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:00:00.560,9.043530000000000512727638124488294124603271484375,1000000,9.045130000000000336513039655983448028564453125,1000000,G-3c369d65-168a65ae230-LP-5Z-5f231,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:00:01.983,9.04363000000000027966962079517543315887451171875,1000000,9.045310000000000627551344223320484161376953125,1000000,G-3c369d65-168a65ae7bf-LP-5Z-5f232,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:00:03.945,9.0436099999999992604671206208877265453338623046875,1000000,9.045310000000000627551344223320484161376953125,1000000,G-3c369d65-168a65aef69-LP-5Z-5f233,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:00:04.045,9.0436499999999995225152815692126750946044921875,1000000,9.045429999999999637338987668044865131378173828125,1000000,G-3c369d65-168a65aefcd-LP-5Z-5f234,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:00:09.248,9.043459999999999610054146614857017993927001953125,1000000,9.0451999999999994628296917653642594814300537109375,1000000,G-3c369d65-168a65b0420-LP-5Z-5f235,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:00:19.457,9.0434699999999992314769770018756389617919921875,1000000,9.045210000000000860609361552633345127105712890625,1000000,G-3c369d65-168a65b2c01-LP-5Z-5f236,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:00:19.893,9.043350000000000221689333557151257991790771484375,1000000,9.0451700000000005985612006043083965778350830078125,1000000,G-3c369d65-168a65b2db5-LP-5Z-5f237,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:00:19.993,9.04317999999999955207385937683284282684326171875,1000000,9.0449199999999994048494045273400843143463134765625,1000000,G-3c369d65-168a65b2e19-LP-5Z-5f238,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:00:20.295,9.042989999999999639612724422477185726165771484375,1000000,9.044679999999999608917278237640857696533203125,1000000,G-3c369d65-168a65b2f47-LP-5Z-5f239,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:00:40.300,9.042989999999999639612724422477185726165771484375,1000000,9.044679999999999608917278237640857696533203125,1000000,G-3c369d65-168a65b7d6c-LP-5Z-5f23a,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:01:00.288,9.042989999999999639612724422477185726165771484375,1000000,9.044679999999999608917278237640857696533203125,1000000,G-3c369d65-168a65bcb80-LP-5Z-5f23b,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:01:07.971,9.042790000000000105728759081102907657623291015625,1000000,9.0445200000000003370814738445915281772613525390625,1000000,G-3c369d65-168a65be983-LP-5Z-5f23c,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:01:08.171,9.0428200000000007463540896424092352390289306640625,1000000,9.0445499999999992013499650056473910808563232421875,1000000,G-3c369d65-168a65bea4b-LP-5Z-5f23d,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:01:28.086,9.0428200000000007463540896424092352390289306640625,1000000,9.0445499999999992013499650056473910808563232421875,1000000,G-3c369d65-168a65c3816-LP-5Z-5f23e,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:01:28.621,9.042970000000000396767063648439943790435791015625,1000000,9.0447399999999991138110999600030481815338134765625,1000000,G-3c369d65-168a65c3a2d-LP-5Z-5f23f,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:01:38.156,9.0431100000000004257572072674520313739776611328125,1000000,9.04484000000000065710992203094065189361572265625,1000000,G-3c369d65-168a65c5f6c-LP-5Z-5f240,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:01:38.289,9.04325000000000045474735088646411895751953125,1000000,9.0449000000000001620037437533028423786163330078125,1000000,G-3c369d65-168a65c5ff1-LP-5Z-5f241,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:01:50.203,9.04326999999999969759301166050136089324951171875,1000000,9.0450099999999995503685568110086023807525634765625,1000000,G-3c369d65-168a65c8e7b-LP-5Z-5f242,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:02:10.103,9.04326999999999969759301166050136089324951171875,1000000,9.0450099999999995503685568110086023807525634765625,1000000,G-3c369d65-168a65cdc37-LP-5Z-5f243,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:02:12.114,9.043189999999999173496689763851463794708251953125,1000000,9.045049999999999812416717759333550930023193359375,1000000,G-3c369d65-168a65ce412-LP-5Z-5f244,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:02:32.112,9.043189999999999173496689763851463794708251953125,1000000,9.045049999999999812416717759333550930023193359375,1000000,G-3c369d65-168a65d3230-LP-5Z-5f245,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:02:46.686,9.042809999999999348574419855140149593353271484375,1000000,9.0447100000000002495426087989471852779388427734375,1000000,G-3c369d65-168a65d6b1e-LP-5Z-5f246,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:03:06.685,9.042809999999999348574419855140149593353271484375,1000000,9.0447100000000002495426087989471852779388427734375,1000000,G-3c369d65-168a65db93d-LP-5Z-5f247,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:03:07.329,9.042770000000000862883098307065665721893310546875,1000000,9.04475000000000051159076974727213382720947265625,1000000,G-3c369d65-168a65dbbc1-LP-5Z-5f248,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:03:27.179,9.042809999999999348574419855140149593353271484375,1000000,9.0447100000000002495426087989471852779388427734375,1000000,G-3c369d65-168a65e094b-LP-5Z-5f249,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:03:33.895,9.043189999999999173496689763851463794708251953125,1000000,9.04493000000000080262907431460916996002197265625,1000000,G-3c369d65-168a65e2387-LP-5Z-5f24a,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:03:36.386,9.043240000000000833324520499445497989654541015625,1000000,9.04505999999999943383954814635217189788818359375,1000000,G-3c369d65-168a65e2d42-LP-5Z-5f24b,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:03:56.385,9.043240000000000833324520499445497989654541015625,1000000,9.04505999999999943383954814635217189788818359375,1000000,G-3c369d65-168a65e7b61-LP-5Z-5f24c,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:04:16.386,9.043240000000000833324520499445497989654541015625,1000000,9.04505999999999943383954814635217189788818359375,1000000,G-3c369d65-168a65ec982-LP-5Z-5f24d,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:04:26.206,9.0434900000000002506794771761633455753326416015625,1000000,9.045210000000000860609361552633345127105712890625,1000000,G-3c369d65-168a65eefde-LP-5Z-5f24e,1,Active,MQ
LP-5,STRM-5,USDSEK,02.01.2019 00:04:43.096,9.0436700000000005417177817435003817081451416015625,1000000,9.0452799999999999869260136620141565799713134765625,1000000,G-3c369d65-168a65f31d8-LP-5Z-5f24f,1,Active,MQ
